,Application mode,Course,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target_Graduate
33,9,3,1,0,19,6,6,6,12,6,8,6,14,1
34,1,17,1,0,34,5,6,5,12,5,9,5,13,1
35,12,1,0,0,37,7,7,0,0,7,7,1,10,0
36,12,7,1,0,43,5,0,0,0,5,0,0,0,0
37,14,9,1,0,55,5,10,1,10,5,8,2,12,0
38,12,17,1,0,39,5,8,5,11,5,5,5,11,1
39,15,8,0,0,20,6,13,3,11,6,11,3,12,0
40,1,15,1,0,18,6,6,4,12,5,5,0,0,0
41,1,9,1,0,22,5,5,5,14,5,5,5,15,1
42,1,12,1,0,22,7,9,5,13,8,9,7,14,1
43,8,15,0,0,20,6,7,4,13,6,7,5,13,0
44,12,17,1,0,29,5,0,0,0,5,0,0,0,0
45,8,17,1,0,24,5,9,2,11,5,11,3,14,0
46,8,10,1,0,18,6,6,6,11,6,8,5,13,1
47,8,12,1,1,22,7,8,6,13,8,9,7,13,1
48,15,3,1,1,21,6,6,6,11,6,7,6,13,1
49,1,10,1,1,19,6,7,5,12,6,7,6,12,1
50,12,11,1,1,24,6,6,6,13,6,6,6,14,1
51,1,12,1,1,19,8,10,6,11,8,10,6,11,0
52,1,15,1,1,20,6,11,4,14,6,12,3,11,0
53,1,8,1,0,19,5,7,5,14,5,5,5,15,1
54,12,17,1,0,27,5,12,5,10,5,10,5,11,0
55,1,12,1,0,18,7,9,7,13,8,10,8,13,1
56,4,11,1,0,39,6,10,0,0,6,6,0,0,0
57,12,8,1,0,27,6,9,5,13,11,13,10,12,0
58,8,12,1,0,18,8,8,8,14,8,8,8,14,1
59,1,2,1,0,18,0,0,0,0,0,0,0,0,0
60,1,12,1,0,18,7,8,6,13,8,12,7,12,1
61,15,10,1,1,21,6,7,6,12,6,7,6,12,1
62,8,2,1,1,19,0,0,0,0,0,0,0,0,0
63,8,5,1,0,19,6,6,5,11,6,8,1,10,0
64,14,5,1,0,24,6,6,0,0,6,6,0,0,0
65,13,12,1,0,29,7,10,5,11,8,10,5,11,0
66,1,2,1,1,19,0,0,0,0,0,0,0,0,1
67,15,4,1,0,23,6,8,6,12,6,7,6,12,1
68,1,9,1,0,19,5,8,5,11,5,10,4,10,0
69,12,11,1,0,26,6,7,6,12,6,8,5,10,0
70,8,9,1,0,18,5,9,0,0,5,5,0,0,0
71,8,12,1,0,24,7,8,7,11,8,8,8,13,1
72,1,2,1,0,19,0,0,0,0,0,0,0,0,0
73,8,11,1,0,18,6,12,3,11,6,12,1,12,0
74,1,15,1,0,18,6,8,6,12,6,11,3,12,1
75,8,9,1,0,18,5,8,3,10,5,11,3,10,0
76,9,11,1,1,21,6,8,4,10,6,11,1,11,0
77,8,15,1,1,19,6,6,6,13,6,6,6,13,1
78,8,12,1,1,22,7,7,7,14,8,9,8,15,1
79,12,3,1,0,33,6,8,6,12,6,6,6,11,1
80,1,16,1,0,20,6,8,5,12,6,7,5,12,0
81,12,17,1,0,35,1,1,0,0,5,0,0,0,0
82,12,4,1,0,24,12,17,6,12,12,14,10,13,0
83,8,11,1,0,18,5,6,5,12,5,8,3,11,0
84,12,3,1,0,33,6,7,6,11,6,11,5,11,1
85,13,12,1,1,22,8,8,7,13,8,8,7,13,1
86,12,14,1,1,25,5,7,4,10,5,7,5,11,1
87,8,5,1,0,20,6,9,6,10,6,6,5,11,1
88,1,9,1,0,23,5,6,4,14,5,5,5,13,0
89,14,7,1,0,18,5,9,2,10,5,9,0,0,0
90,12,12,1,0,24,7,18,0,0,7,7,0,0,0
91,8,15,0,0,21,6,6,6,14,6,6,6,13,1
92,6,8,1,0,26,6,7,2,12,6,6,0,0,0
93,12,16,1,0,39,6,12,3,12,6,14,0,0,0
94,12,3,1,0,44,8,11,8,11,6,7,6,12,1
95,6,7,1,0,19,5,9,5,14,5,11,3,13,0
96,1,15,1,0,18,6,6,6,13,6,6,6,13,1
97,1,12,1,1,18,7,7,7,13,8,9,8,14,1
98,1,6,1,0,19,5,7,5,14,5,7,5,13,0
99,1,12,0,0,19,7,10,4,11,7,7,0,0,0
100,17,6,1,0,21,10,12,8,12,9,14,5,13,0
101,1,2,1,0,20,0,0,0,0,0,0,0,0,1
102,12,3,1,0,36,6,0,0,0,6,0,0,0,0
103,12,4,1,0,43,18,19,18,14,13,14,13,14,1
104,9,16,1,0,19,6,0,0,0,6,0,0,0,0
105,16,5,1,0,20,10,12,10,13,11,11,11,12,1
106,1,10,1,0,19,6,0,0,0,6,0,0,0,0
107,1,6,1,0,20,6,15,4,14,6,17,4,13,0
108,1,12,1,0,20,7,9,6,13,7,10,5,12,0
109,8,16,1,0,20,7,12,6,11,7,10,3,13,0
110,1,10,1,0,18,6,8,6,13,6,6,6,15,1
111,8,9,1,1,18,5,9,3,13,5,11,3,11,0
112,1,6,1,0,19,5,6,5,13,5,5,5,12,1
113,1,15,1,0,18,6,6,6,12,6,7,6,12,1
114,8,12,1,0,18,7,7,6,12,7,7,6,12,0
115,14,12,1,0,20,7,11,6,11,7,7,7,13,0
116,8,10,1,1,20,6,13,2,10,6,12,4,10,0
117,8,9,1,0,20,5,11,3,10,5,10,3,10,0
118,1,6,1,0,18,5,12,5,13,5,6,5,11,1
119,1,9,1,0,18,5,5,5,12,5,5,5,14,1
120,8,11,1,0,21,6,12,3,11,6,12,2,11,0
121,1,9,1,0,19,5,8,5,10,5,9,4,11,1
122,1,2,1,0,19,0,0,0,0,0,0,0,0,0
123,1,14,1,1,19,5,5,5,12,5,5,5,14,1
124,1,6,1,0,19,6,15,6,14,6,13,6,12,1
125,8,13,1,0,19,7,12,5,12,7,0,0,0,0
126,15,6,1,0,20,6,7,6,14,6,17,5,13,1
127,1,16,1,1,18,6,8,5,12,6,7,5,13,0
128,8,10,1,0,18,6,7,6,13,6,6,6,13,1
129,8,12,1,0,19,7,7,7,13,8,9,8,15,1
130,1,12,1,1,18,7,9,7,13,8,9,7,13,0
131,8,5,1,0,18,6,6,6,12,6,6,6,13,1
132,1,9,1,0,19,5,7,5,12,5,5,5,14,1
133,8,12,1,0,19,7,8,5,14,7,7,0,0,0
134,14,10,1,0,20,9,15,9,11,7,8,7,11,1
135,1,14,0,1,19,6,7,5,12,6,9,4,12,0
136,8,14,1,0,20,5,7,4,12,5,5,4,11,1
137,1,15,1,1,18,6,6,6,14,6,6,6,14,1
138,1,12,1,1,20,7,9,5,13,8,9,7,12,0
139,9,12,1,0,18,7,8,7,17,8,8,8,17,1
140,1,12,1,0,19,7,7,6,12,7,7,6,12,1
141,1,15,1,1,19,6,8,6,12,6,10,5,12,1
142,16,9,0,0,22,5,8,0,0,5,7,0,0,0
143,1,10,1,1,19,6,7,6,11,6,6,6,11,1
144,1,12,1,1,19,7,10,7,13,8,11,8,12,1
145,8,16,1,1,19,6,10,5,12,6,9,5,10,1
146,1,11,1,0,19,5,10,0,0,5,10,0,0,0
147,8,11,1,0,20,6,8,5,11,6,12,3,11,0
148,1,9,1,0,18,5,10,5,13,5,9,5,14,1
149,1,12,1,1,20,7,8,6,13,8,9,7,14,1
150,1,2,1,0,18,0,0,0,0,0,0,0,0,0
151,1,6,1,0,19,5,6,5,12,5,6,5,13,1
152,8,16,1,0,18,6,11,3,12,6,10,5,10,0
153,1,16,1,0,18,6,7,6,13,6,8,5,11,1
154,14,16,1,0,21,6,10,3,12,6,12,3,10,0
155,1,16,1,0,19,6,8,6,12,6,10,4,11,0
156,1,9,1,1,18,5,5,5,10,5,5,5,11,1
157,8,10,1,1,18,6,8,6,12,6,7,6,11,1
158,1,10,1,0,20,6,10,4,11,6,9,6,11,1
159,12,3,1,1,24,6,11,5,11,6,9,5,12,1
160,1,14,1,0,19,6,6,6,13,6,9,6,13,0
161,1,12,1,1,18,7,9,7,12,8,12,7,12,1
162,1,12,1,0,18,7,8,7,14,8,8,8,15,1
163,8,16,1,0,21,6,13,4,11,6,10,3,11,0
164,8,14,1,0,19,5,5,5,14,5,5,5,14,1
165,8,15,1,1,19,6,6,6,12,6,7,6,13,1
166,12,4,1,0,47,1,1,0,0,6,0,0,0,0
167,8,10,1,0,19,6,10,5,11,6,12,4,11,1
168,12,12,1,0,29,8,8,7,14,8,8,7,14,1
169,14,10,1,0,21,6,13,3,12,6,12,2,11,0
170,12,6,1,0,28,5,13,4,11,5,11,4,10,0
171,8,13,1,0,20,7,8,7,12,8,8,8,13,1
172,8,12,1,0,19,7,7,6,11,7,7,6,11,1
173,13,3,1,0,26,6,10,3,11,6,8,5,12,1
174,8,11,0,0,20,6,8,4,11,6,6,6,13,0
175,1,14,1,1,18,5,6,3,11,5,6,4,13,0
176,12,16,1,0,27,6,9,5,13,6,10,5,12,1
177,1,12,1,0,20,7,8,4,11,7,8,4,11,0
178,1,16,1,0,18,6,8,5,12,6,12,5,10,0
179,4,12,1,0,33,7,8,6,14,8,10,6,14,0
180,14,16,1,0,35,21,21,21,12,19,19,19,12,1
181,15,17,1,1,26,6,7,6,12,6,7,6,13,0
182,12,15,0,0,27,6,6,5,12,6,6,0,0,0
183,9,5,0,0,19,6,6,6,12,6,6,0,0,0
184,8,11,1,0,20,6,0,0,0,6,0,0,0,0
185,9,9,0,0,20,5,9,3,10,5,9,3,10,0
186,14,10,0,0,21,10,18,8,11,6,12,4,10,0
187,8,12,1,1,18,7,7,6,13,7,7,6,13,1
188,12,6,1,0,24,6,10,2,11,6,6,0,0,0
189,8,5,1,0,20,6,7,6,11,6,6,6,12,1
190,1,11,1,1,21,6,7,6,12,6,6,6,12,1
191,1,3,1,0,23,6,13,2,10,5,12,1,10,0
192,12,9,1,0,24,5,5,0,0,5,5,0,0,0
193,16,16,1,0,21,6,0,0,0,6,0,0,0,0
194,1,12,1,0,18,8,8,7,12,8,8,7,12,1
195,12,17,1,0,27,5,0,0,0,5,0,0,0,0
196,9,12,1,0,18,8,8,8,12,8,8,8,12,1
197,4,7,1,0,35,5,0,0,0,5,0,0,0,0
198,1,16,1,0,18,7,9,7,12,7,8,7,14,1
199,12,12,1,0,35,3,4,3,11,3,3,3,11,0
200,1,6,1,0,19,5,9,4,13,5,13,4,14,1
201,1,10,1,0,20,6,8,6,11,6,6,6,11,1
202,1,12,1,0,18,8,8,7,12,8,8,7,12,1
203,15,10,1,0,21,6,6,6,12,6,7,6,11,1
204,8,10,1,1,18,6,11,5,11,6,11,4,11,1
205,1,10,1,0,18,6,9,4,11,6,9,4,10,1
206,1,12,1,0,18,8,8,7,12,8,8,7,12,1
207,1,15,1,1,18,6,6,6,13,6,6,6,14,1
208,1,6,1,0,19,6,8,6,13,6,9,5,13,1
209,12,11,1,1,36,6,7,6,13,6,6,5,12,0
210,1,12,1,1,18,8,8,7,12,8,8,7,12,1
211,1,12,1,1,18,7,7,6,12,7,7,6,12,1
212,14,8,1,1,20,6,8,6,15,6,8,6,15,1
213,12,17,1,1,26,5,7,0,0,5,8,0,0,0
214,14,15,1,0,21,6,8,6,11,6,7,6,12,1
215,12,13,1,0,25,7,10,6,12,8,9,8,13,0
216,9,9,1,1,19,5,7,5,11,5,5,5,11,1
217,12,3,1,0,24,6,11,1,10,6,6,0,0,0
218,12,3,1,1,27,6,16,1,10,6,13,0,0,0
219,8,6,1,0,21,5,10,0,0,5,9,2,13,0
220,1,9,1,1,18,5,7,4,13,5,8,3,12,1
221,1,16,1,1,19,6,6,6,13,6,6,6,14,1
222,1,11,1,0,18,6,9,4,11,6,13,2,12,0
223,16,12,1,1,19,7,9,5,13,8,9,7,12,1
224,9,12,1,1,19,7,8,6,13,8,9,7,14,1
225,4,17,1,0,33,6,7,6,15,5,5,5,15,1
226,4,9,1,0,45,5,6,5,11,5,5,5,13,1
227,1,10,1,1,20,6,6,6,12,6,7,6,12,1
228,12,14,1,0,28,5,5,0,0,5,5,0,0,0
229,14,12,1,1,19,8,15,7,11,8,15,7,11,1
230,1,11,1,0,18,6,10,6,12,6,6,3,12,1
231,12,11,1,0,38,6,0,0,0,6,0,0,0,0
232,1,14,1,0,19,5,5,5,13,5,5,5,13,1
233,1,11,1,1,21,6,9,5,11,6,8,5,12,1
234,1,9,1,0,21,5,12,3,12,5,12,1,15,0
235,1,10,1,1,22,6,6,5,12,6,6,6,13,1
236,1,16,1,1,18,6,8,5,13,6,7,6,13,1
237,8,10,1,1,18,6,9,6,11,6,9,6,11,1
238,1,8,0,0,25,5,14,4,13,5,10,4,14,0
239,12,6,0,0,24,6,11,3,11,6,14,3,10,0
240,1,12,1,0,19,7,10,6,12,7,8,7,11,0
241,7,2,1,0,24,17,19,11,12,13,15,9,13,0
242,1,9,1,1,20,5,5,5,11,5,5,5,13,1
243,12,9,0,0,25,5,5,0,0,5,9,0,0,0
244,1,9,1,1,20,10,13,9,12,10,12,10,12,1
245,4,12,1,0,23,8,8,8,13,8,8,8,13,1
246,8,12,1,1,19,8,8,7,13,8,8,7,13,1
247,15,4,0,0,29,6,13,3,12,6,8,3,11,0
248,1,11,1,0,21,6,8,6,11,6,8,4,12,1
249,1,14,1,1,18,6,10,6,13,6,13,5,14,1
250,1,5,1,0,19,6,7,5,12,6,6,5,12,0
251,1,15,1,1,18,6,6,6,15,6,6,6,12,0
252,1,6,1,0,19,5,6,5,14,5,6,5,13,1
253,1,15,1,0,18,6,12,1,11,6,12,0,0,0
254,8,9,1,0,18,5,8,5,12,5,6,5,10,1
255,12,13,0,1,37,7,13,1,16,7,12,0,0,0
256,8,17,1,0,29,5,10,5,13,5,14,5,12,1
257,8,5,1,0,18,6,6,6,11,6,6,6,12,0
258,1,10,1,1,19,6,8,5,11,6,9,5,12,1
259,14,10,0,0,22,10,16,6,11,7,8,2,13,0
260,1,11,1,1,20,6,8,6,11,6,10,5,10,1
261,12,3,1,0,34,6,0,0,0,6,0,0,0,0
262,14,7,0,0,30,12,17,8,11,12,19,6,12,0
263,1,10,1,0,18,6,7,6,14,6,7,6,14,1
264,1,10,1,0,18,6,6,6,12,6,6,6,12,1
265,1,15,1,0,18,6,11,4,12,6,10,3,11,1
266,8,12,1,0,18,8,8,7,14,8,8,7,14,1
267,1,15,1,1,19,6,7,5,11,6,8,5,12,1
268,1,5,1,1,19,6,6,6,13,6,8,6,12,1
269,1,12,1,1,18,8,8,7,13,8,8,7,13,1
270,15,4,1,1,21,6,9,6,12,6,8,5,12,1
271,1,9,0,0,20,5,10,2,10,5,12,1,13,0
272,8,9,1,0,20,5,10,5,13,5,8,5,12,1
273,1,12,1,0,19,7,8,7,12,8,8,8,13,1
274,1,10,1,0,20,6,8,6,14,6,7,6,15,1
275,8,12,1,0,18,7,7,7,13,8,8,8,15,1
276,13,16,1,0,20,6,8,5,11,6,10,3,10,0
277,4,8,0,0,29,9,16,7,11,7,12,5,13,0
278,1,12,1,1,18,7,7,7,13,8,8,8,13,0
279,1,12,1,1,20,7,8,7,14,8,11,7,13,1
280,7,9,1,1,22,5,8,4,12,5,8,4,11,1
281,1,3,1,1,47,6,9,5,14,6,7,6,14,1
282,16,17,1,0,31,5,5,5,14,5,5,5,13,1
283,1,5,1,1,21,6,7,5,13,6,6,6,12,1
284,1,3,1,0,21,6,8,5,12,6,10,6,11,1
285,12,15,1,0,24,6,6,6,12,6,6,6,13,1
286,8,5,1,0,18,6,8,6,12,6,6,6,12,0
287,12,3,1,0,32,6,9,4,12,6,12,4,11,1
288,9,3,1,1,19,6,8,6,10,6,9,6,11,1
289,12,12,1,0,24,8,8,8,13,8,8,8,13,1
290,8,6,1,0,19,6,14,6,15,6,9,6,14,1
291,15,4,1,1,19,6,9,6,14,6,7,6,13,1
292,15,4,1,0,24,6,10,6,11,6,12,5,13,0
293,8,10,1,1,18,6,9,6,11,6,8,6,11,1
294,1,5,1,1,19,6,9,5,12,6,10,2,11,0
295,1,12,1,1,19,8,8,7,14,8,8,7,14,1
296,8,15,1,1,18,6,6,6,14,6,6,6,13,1
297,1,10,1,0,18,6,10,6,11,6,8,6,12,1
298,8,13,1,0,20,7,7,7,12,8,8,8,13,1
299,1,12,1,0,18,8,10,8,12,8,10,8,12,1
300,8,14,1,0,18,6,10,6,12,6,9,6,13,1
301,1,6,1,1,21,5,7,4,12,5,5,5,12,1
302,1,12,1,1,18,7,9,7,15,8,9,8,16,1
303,16,14,0,0,18,5,6,2,12,5,6,4,10,0
304,8,10,1,0,19,6,11,0,0,6,0,0,0,0
305,1,14,1,0,19,6,8,4,11,6,9,4,11,0
306,8,14,1,0,18,6,8,6,11,6,11,4,14,1
307,12,8,1,0,34,5,6,1,11,5,5,0,0,0
308,1,6,1,0,19,5,5,5,15,5,6,5,13,1
309,15,8,0,0,19,6,7,5,11,6,12,2,11,0
310,16,10,1,0,26,6,6,6,14,6,7,6,15,1
311,8,16,1,0,21,6,12,3,11,6,10,3,11,0
312,8,9,1,1,18,5,5,5,11,5,5,5,11,1
313,8,16,1,1,20,6,8,5,13,6,9,5,13,1
314,16,9,1,0,25,5,12,2,10,5,5,0,0,0
315,1,9,1,0,18,5,5,5,16,5,5,5,16,1
316,1,12,1,1,18,7,7,7,14,8,11,8,14,1
317,1,12,1,0,19,7,7,7,13,8,9,8,14,1
318,1,10,1,1,18,6,8,6,11,6,10,6,11,1
319,8,12,1,0,20,7,11,6,11,8,12,6,13,0
320,4,6,0,0,26,3,3,0,0,6,0,0,0,0
321,13,12,1,1,19,8,8,7,13,8,8,7,13,1
322,1,12,1,0,19,7,7,7,14,8,9,8,14,1
323,14,9,1,0,19,10,15,5,11,10,14,8,12,1
324,3,6,1,0,19,5,9,3,10,5,8,3,13,0
325,1,11,1,0,18,6,7,6,10,6,11,3,11,1
326,14,12,1,0,19,7,7,6,13,7,7,6,13,1
327,1,10,1,0,18,6,10,6,11,6,9,5,11,1
328,1,16,1,0,18,6,9,5,12,6,8,5,11,0
329,1,6,1,0,18,5,11,5,14,5,7,5,11,0
330,1,16,1,0,18,7,12,5,12,7,9,6,12,0
331,15,7,1,0,26,5,6,0,0,5,5,0,0,0
332,1,10,1,0,20,6,7,6,12,6,7,6,13,1
333,1,3,1,0,19,6,6,6,12,6,6,6,11,1
334,1,10,1,1,18,6,6,6,12,6,9,6,13,1
335,15,10,1,0,19,6,6,6,13,6,6,6,14,1
336,4,16,1,0,40,7,8,7,15,7,7,7,14,1
337,1,12,1,1,18,8,8,8,13,8,8,8,13,1
338,8,10,1,0,19,6,9,5,12,6,8,6,12,1
339,8,8,1,0,18,5,9,4,11,5,6,4,12,1
340,1,6,1,0,19,5,13,4,12,5,8,3,12,0
341,1,2,1,0,18,0,0,0,0,0,0,0,0,0
342,12,3,1,0,33,6,7,6,12,6,8,6,12,1
343,12,4,1,0,35,6,10,6,14,6,11,6,13,1
344,13,9,1,0,26,5,5,4,13,5,7,2,12,0
345,1,15,1,0,18,6,7,6,13,6,8,6,12,1
346,14,10,1,0,36,16,24,13,10,13,19,9,12,0
347,12,17,1,0,39,5,6,5,11,5,9,5,11,1
348,12,10,1,0,44,6,8,6,13,6,6,6,13,1
349,1,3,1,0,20,6,10,5,12,6,9,4,11,0
350,1,11,1,0,24,6,9,4,12,6,6,4,11,0
351,14,15,1,1,20,6,6,6,13,6,6,6,13,1
352,1,2,0,0,19,0,0,0,0,0,0,0,0,0
353,1,12,1,1,18,7,7,6,14,7,7,6,14,1
354,1,11,0,0,22,6,10,5,11,6,12,0,0,0
355,8,6,1,0,18,6,7,6,15,6,7,6,16,1
356,12,12,1,0,24,7,9,6,12,8,9,7,13,1
357,12,17,1,0,33,5,0,0,0,5,0,0,0,0
358,12,4,1,1,30,6,6,0,0,6,6,0,0,0
359,12,6,1,0,26,6,0,0,0,6,0,0,0,0
360,8,16,1,0,18,6,7,6,11,6,10,6,11,1
361,1,15,1,0,19,6,13,3,12,6,12,2,10,0
362,8,9,1,0,20,5,10,3,10,5,9,4,11,0
363,17,6,1,1,22,11,18,8,13,9,16,7,13,1
364,1,12,1,0,19,7,8,5,13,7,8,5,13,0
365,1,6,1,1,21,6,13,6,16,6,10,6,15,1
366,1,12,1,1,21,7,7,6,14,7,7,6,14,1
367,8,6,1,0,19,5,8,1,11,5,6,5,11,0
368,1,16,1,1,19,7,8,7,13,7,8,6,13,1
369,1,12,1,0,18,8,8,7,13,8,8,7,13,0
370,14,3,1,0,50,11,11,11,13,7,7,7,13,1
371,12,17,1,1,31,5,11,4,11,5,10,4,10,0
372,8,15,1,1,19,6,6,6,13,6,7,6,14,1
373,12,17,1,0,35,5,8,5,12,5,9,5,12,1
374,12,6,1,0,31,6,0,0,0,6,0,0,0,0
375,16,3,1,0,42,11,14,10,11,11,14,10,12,0
376,9,9,0,0,34,5,5,0,0,5,0,0,0,0
377,1,12,1,1,18,7,7,7,15,8,8,8,15,1
378,8,16,0,1,18,7,7,7,12,7,8,6,13,0
379,15,6,1,0,21,6,16,5,12,6,15,2,13,0
380,12,12,1,1,26,7,13,5,12,8,12,6,10,0
381,14,12,1,0,20,7,8,6,13,8,8,8,13,0
382,1,10,1,0,19,6,13,3,10,6,12,3,10,0
383,1,16,1,1,19,6,7,6,13,6,6,6,13,1
384,17,9,1,0,20,11,19,9,12,9,14,8,11,1
385,1,10,1,0,19,6,8,6,11,6,7,6,11,1
386,1,16,1,0,18,6,6,6,13,6,9,6,12,1
387,12,17,1,0,28,14,16,11,11,11,16,10,12,1
388,8,16,1,0,22,6,10,5,13,6,8,5,12,0
389,15,3,1,1,21,6,6,6,14,6,6,6,14,1
390,15,6,1,0,21,6,11,4,12,6,19,1,11,0
391,12,12,1,0,26,7,11,5,11,8,13,5,12,0
392,1,15,0,0,18,6,8,5,13,6,8,5,11,0
393,8,6,0,0,20,5,8,2,10,5,8,2,12,0
394,8,6,1,0,18,6,7,6,14,6,7,6,14,1
395,1,12,1,1,19,8,11,7,12,8,11,7,12,1
396,16,10,1,0,20,11,12,11,11,11,14,11,12,1
397,15,6,1,1,22,6,11,6,13,6,10,3,12,1
398,8,14,1,0,18,6,6,5,11,6,9,4,13,0
399,8,9,1,0,19,5,10,3,10,5,9,0,0,0
400,8,5,1,1,18,6,9,5,11,6,8,4,11,0
401,8,11,1,0,20,6,13,3,10,6,12,3,10,0
402,1,15,1,0,19,6,11,4,12,6,11,3,11,0
403,1,11,1,0,19,6,6,6,12,6,7,4,12,0
404,8,12,1,0,19,8,8,7,14,8,8,7,14,1
405,1,2,1,0,18,0,0,0,0,0,0,0,0,1
406,4,5,1,0,21,13,14,13,13,12,12,12,14,1
407,12,17,1,0,27,5,5,5,15,5,5,5,14,1
408,8,10,1,0,19,6,6,6,14,6,7,6,14,1
409,12,6,1,0,25,5,5,0,0,5,5,0,0,0
410,1,12,1,1,18,8,8,7,14,8,8,7,14,1
411,12,12,1,0,24,8,8,7,12,8,8,7,12,1
412,1,12,1,0,20,7,8,7,11,8,9,7,14,1
413,4,17,1,0,26,5,5,5,14,5,5,5,15,1
414,1,10,1,1,20,6,9,6,12,6,6,6,11,1
415,1,6,1,0,18,5,5,5,14,5,6,5,15,1
416,1,6,1,0,19,6,13,6,15,6,10,6,12,1
417,1,16,1,0,23,6,9,5,11,6,9,3,11,0
418,1,12,1,1,18,7,7,6,11,7,7,6,11,1
419,1,12,1,0,18,7,0,0,0,8,0,0,0,0
420,1,12,1,1,19,7,7,7,12,8,9,8,13,1
421,13,17,1,0,30,7,9,7,14,5,5,5,14,1
422,15,6,1,0,29,6,0,0,0,6,0,0,0,0
423,1,12,1,0,19,8,8,8,13,8,8,8,13,1
424,8,13,1,0,20,7,7,7,13,8,8,8,14,1
425,1,12,1,0,20,7,7,6,13,7,7,6,13,1
426,1,14,1,0,19,6,8,6,13,6,9,6,13,1
427,8,9,1,0,20,5,8,3,11,5,12,2,10,0
428,1,6,1,0,21,5,8,0,0,5,12,0,0,0
429,8,14,1,0,19,6,10,5,11,6,9,4,14,1
430,1,12,1,1,18,8,8,7,12,8,8,7,12,1
431,12,3,1,1,27,6,8,6,11,6,10,5,12,1
432,8,9,1,1,19,5,6,5,13,5,5,5,12,1
433,1,12,1,1,19,7,7,0,0,7,7,0,0,0
434,1,15,1,0,19,6,7,5,14,6,7,6,14,1
435,1,12,1,1,18,8,8,7,13,8,8,7,13,1
436,8,11,1,1,20,6,10,4,11,6,6,6,10,0
437,1,14,1,1,18,6,6,6,14,6,8,6,13,1
438,1,14,1,0,19,6,0,0,0,6,0,0,0,0
439,12,12,1,0,36,7,7,6,11,7,7,6,11,1
440,14,13,1,0,18,2,2,0,0,4,4,1,16,0
441,14,8,1,0,18,5,11,1,12,5,9,3,12,0
442,8,12,1,0,19,8,9,7,12,8,9,7,12,1
443,1,12,1,1,18,8,8,7,12,8,8,7,12,1
444,8,14,1,0,18,5,5,4,11,5,5,4,11,1
445,1,10,1,1,19,6,6,6,13,6,6,6,14,1
446,1,12,1,1,19,7,8,7,14,8,8,8,16,1
447,1,12,1,0,18,7,8,7,12,8,8,8,14,0
448,1,15,1,0,20,6,6,6,13,6,10,5,12,1
449,1,11,1,1,20,6,8,5,12,6,9,5,12,0
450,9,12,1,0,20,8,8,7,14,8,8,7,14,1
451,1,12,1,1,18,8,8,7,13,8,8,7,13,1
452,1,12,1,0,18,7,8,7,14,8,8,8,13,1
453,8,6,1,0,19,5,11,5,11,5,6,5,12,1
454,1,9,1,0,19,5,5,5,11,5,8,4,11,0
