Application mode,Application order,Course,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
8,2,15,1,4,11,1,0,1,0,0,18,6,8,6,13,0,0,6,7,6,14,-4,0.9950150058907623,0.9842612442731452,1
15,1,5,4,16,30,1,0,1,0,0,37,6,17,14,13,1,1,6,21,5,13,-4,0.8582962582316687,0.2983226932838587,0
7,5,16,30,5,7,1,0,1,0,0,19,5,0,2,0,0,0,5,11,0,0,-3,0.3995948424543313,-0.0041339020209039765,0
12,1,6,24,7,2,0,0,1,0,0,30,5,6,0,0,0,0,5,6,0,0,0,-0.006094319628442689,-0.02203226926235728,0
1,2,9,14,10,4,1,1,1,0,0,38,5,6,5,11,0,0,5,6,5,13,0,0.9998091477351432,0.995214171495297,1
12,1,8,1,1,11,0,0,1,1,0,30,5,9,0,0,0,0,5,6,0,0,0,-0.011814759966708858,-0.005978100643696417,0
14,1,1,27,10,8,1,0,1,0,0,24,15,12,20,11,0,10,12,20,11,13,-4,0.9910339463316142,0.9948121647202353,1
12,1,14,24,5,5,1,0,1,1,0,19,5,9,4,13,0,0,5,8,3,13,0,0.4602239579022777,0.9864337001206489,0
1,2,2,1,5,2,1,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0.0034684273874197626,-0.015585575525107705,0
12,1,16,14,10,7,0,0,1,1,0,35,7,10,7,11,0,0,7,10,5,13,-1,0.8414040221402085,0.8332430823675163,0
1,2,15,3,22,9,1,0,0,0,0,19,6,12,6,13,0,0,6,7,5,10,0,0.8205525093336421,-0.00706241916617211,0
7,1,5,1,10,10,1,0,1,0,0,18,6,0,0,0,0,0,6,0,0,0,1,-0.003442984023301535,0.012095095161135824,1
14,2,15,8,5,5,1,0,1,1,0,25,6,10,6,15,0,5,6,7,5,16,3,1.0005261656070485,1.003835889562587,1
12,1,12,24,10,8,0,0,1,0,0,19,7,7,6,14,0,0,7,9,0,14,2,0.872188849324044,0.8694150809683318,1
12,6,2,14,6,10,1,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,1,0.014062625714651535,0.03110895289763465,1
14,1,6,24,1,10,0,0,1,0,0,50,12,14,3,10,0,0,6,11,5,11,0,0.8552773729202544,0.6354109685010527,0
1,1,9,3,10,8,0,0,1,0,0,21,5,6,5,12,0,0,5,7,5,11,0,0.8552340083685094,0.822191536477241,1
14,1,3,14,8,11,0,0,1,0,0,18,6,15,6,13,0,0,6,7,0,14,0,0.643629695191303,-0.007582523362358381,1
8,1,12,1,3,9,1,1,1,1,0,18,7,9,7,13,0,0,8,8,5,10,0,0.8255512544312866,0.5530023013034453,0
1,2,6,14,9,10,1,0,1,0,1,18,6,8,5,12,0,0,6,6,5,15,-3,1.002857863849365,0.9941999439488418,1
13,1,5,3,5,2,1,0,1,1,0,21,10,13,10,13,6,5,11,11,10,11,0,0.5415785949021724,0.6539911720961294,0
12,1,8,14,5,9,1,0,1,1,0,21,6,6,0,0,0,0,6,6,0,0,0,0.012496989065058368,0.017268444072080454,0
1,6,10,14,10,10,1,0,1,0,0,19,6,6,6,14,0,0,6,6,6,12,-4,1.0015526707646683,0.9952306799114962,1
12,1,17,27,10,10,0,0,1,0,0,36,5,16,2,11,0,0,5,8,5,11,-1,0.12020069748172232,0.3309354117657759,0
8,1,9,24,5,8,1,0,1,0,0,34,5,12,2,11,0,0,5,11,2,10,0,0.6742693616018313,0.25818952057026157,0
12,1,17,27,10,10,0,0,1,1,0,22,10,16,5,11,0,1,5,19,4,13,0,0.18290880913911559,0.23428100108966834,1
1,4,6,14,4,10,1,0,1,0,1,18,6,6,6,12,0,0,6,6,6,13,2,1.002948902725423,0.9997432900033569,1
12,1,3,24,7,12,0,0,1,1,0,30,5,13,2,11,0,2,6,9,2,11,0,0.28494058719613036,0.36083217303186577,0
15,1,17,3,22,8,0,0,1,0,0,31,6,15,6,13,0,1,6,12,6,11,0,0.46168587159620267,0.9960213610248008,1
1,1,16,28,3,7,0,0,1,1,0,20,6,6,6,13,0,0,6,7,6,11,3,0.9954202174805729,0.9963240855409733,1
8,5,16,14,4,6,1,0,1,0,0,19,6,10,5,11,0,0,6,8,3,10,0,0.8115173296774945,0.4408298881571726,0
8,3,16,2,6,11,1,0,0,0,0,19,6,14,3,13,0,0,6,12,2,10,3,0.44017931317722414,0.6542936536023306,0
14,1,8,27,10,10,1,1,1,1,0,33,6,6,5,11,0,0,6,7,5,11,-1,0.8511847110664301,0.8522083219333432,1
1,3,12,27,10,10,0,0,1,0,0,21,7,8,7,12,0,0,8,8,7,14,1,0.8364927960882054,0.9916746002244854,1
13,1,6,5,16,42,0,0,1,0,0,39,6,14,0,0,1,0,6,12,0,0,0,-0.042833163832019835,0.00793626533305901,0
13,1,9,3,3,2,0,0,1,1,0,39,7,9,6,11,0,0,8,11,2,13,0,0.8615032962581898,0.8525421668037212,0
8,3,14,1,5,5,1,1,1,0,0,19,5,9,4,14,0,0,5,5,3,14,2,0.9987256539122661,0.996973426554635,1
12,1,17,14,10,10,0,0,1,0,0,33,17,21,5,12,0,11,5,7,5,13,0,1.0099665994661537,0.9968322136553259,1
1,6,2,14,1,10,1,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0.0021288093782520882,0.011842145410644,0
14,1,5,14,12,9,1,0,1,0,0,25,5,6,5,11,0,0,5,10,4,11,0,0.43811245180623315,0.36518006976808337,1
14,1,6,3,4,4,0,0,1,1,0,26,5,6,6,12,0,0,5,10,5,14,1,0.9981987444739988,0.9958402561438188,1
1,1,8,24,1,1,1,0,1,1,0,35,3,0,0,0,0,0,4,0,0,0,0,-0.03883726030022062,0.005859400108489707,0
8,1,7,1,6,5,0,0,1,1,0,20,8,11,7,13,0,0,8,13,3,11,3,0.6518086377848592,0.5770432806633203,0
8,1,3,14,5,10,1,0,1,1,0,32,6,14,6,13,0,0,6,8,5,11,0,0.5744294330156189,0.43423727960477765,1
14,1,6,14,5,7,1,0,1,0,0,31,6,6,0,0,0,0,6,12,0,0,0,0.011347229357375647,0.013506224449055852,0
14,1,9,3,4,3,0,1,1,1,0,25,5,12,2,11,2,0,5,11,4,10,-3,0.6319956885821876,0.43724695144560827,0
13,4,12,14,5,2,1,0,1,0,0,18,7,10,7,14,0,0,8,8,7,14,0,0.8937348475688304,0.8916902433840338,0
12,1,3,1,6,10,0,0,1,0,0,29,10,14,2,13,0,1,7,11,2,13,0,0.8718650511116403,0.684373695966381,0
14,1,6,14,10,10,0,1,1,1,0,32,10,16,3,10,5,5,9,11,2,11,-4,0.5327835768519753,0.6303730114664928,0
8,1,3,27,10,7,0,0,1,0,0,44,6,6,5,12,0,0,6,7,5,13,0,0.992675610293593,0.8152003679227562,1
1,3,2,14,5,8,1,0,1,0,0,18,6,0,6,13,0,0,6,0,0,0,0,-0.00018600253653475586,0.01624723915399922,1
9,3,3,1,6,9,1,0,1,0,1,20,6,6,6,15,0,0,6,6,5,0,2,0.008369940219915287,-0.005509674120868613,0
4,1,12,28,8,8,1,0,1,0,0,30,11,16,13,13,0,4,8,7,7,12,0,0.8803875325934377,0.8515498515198984,1
1,4,14,14,6,4,1,0,1,0,0,18,6,6,6,11,0,0,6,0,0,13,3,1.0029321727467901,1.011661361166212,1
8,1,11,28,10,10,1,0,1,0,0,19,6,0,0,0,0,0,6,0,0,0,0,-0.0580526843283994,-0.00684936496588815,0
1,1,6,27,10,10,0,1,1,0,0,19,5,8,5,11,0,0,5,6,5,11,1,1.0057585136464922,0.8517282468497127,1
15,1,4,2,3,3,1,1,1,1,0,19,6,14,3,13,0,1,6,11,2,11,0,0.6227167521498843,0.3498848244540166,0
8,1,9,1,10,12,0,0,1,1,0,19,5,6,2,11,0,0,5,6,4,0,1,0.18264066215094177,-0.01178645862286785,0
8,5,14,1,4,5,1,0,1,0,0,19,6,13,5,13,0,0,6,12,4,13,2,0.48217433873779075,0.6688834111367274,1
12,1,4,14,1,7,0,0,1,1,0,24,6,9,6,13,0,0,6,6,6,13,2,0.008895228463213735,0.022788288788486363,0
1,2,12,14,5,4,1,0,1,0,0,20,7,7,7,12,0,0,8,7,8,14,0,1.0033093453101152,1.0013876678995641,1
12,1,8,24,1,1,0,0,1,0,0,30,3,5,0,0,0,1,5,6,0,0,0,0.010764337682947251,0.0015675820864481738,0
13,2,2,28,8,6,1,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,-3,-0.016018611630195165,-0.02014693482519637,0
1,1,3,14,6,44,1,0,1,0,0,46,6,16,6,12,0,0,6,18,6,13,-4,1.0026544978956111,1.0101236330668484,1
13,3,9,24,10,1,1,0,1,0,0,20,5,6,0,0,1,0,5,5,0,0,2,-0.014304969933653393,-0.017271152475636677,0
1,1,15,14,4,10,1,0,1,0,0,18,6,10,6,11,0,0,6,7,5,13,-4,0.8508890648738221,0.8549768956600043,1
8,1,4,14,10,5,0,0,1,0,0,21,6,8,6,15,0,0,6,7,6,13,-4,0.9949189873343801,1.0044563820009493,1
1,3,2,14,5,8,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,-0.003996143917160662,-0.004482216107717224,1
1,1,3,1,4,3,0,0,1,0,0,27,7,10,7,13,0,0,8,12,8,14,1,0.8313490659175587,0.400881963168556,0
12,1,4,1,2,5,0,0,0,1,0,21,6,6,0,0,0,0,6,6,0,0,0,-0.01489902765762342,-0.006554998119934735,0
6,1,10,3,3,9,1,1,0,0,0,20,6,13,5,10,0,4,6,11,3,13,3,0.5101781086844804,0.5030851691167171,0
12,3,3,27,10,11,0,0,1,0,0,38,7,7,6,14,0,0,6,6,6,13,0,0.99869125702296,0.9954388184127853,0
15,1,11,27,10,5,1,0,1,0,0,20,6,8,4,11,0,0,6,11,3,11,1,0.6104668259211977,0.6363630189797833,0
12,1,9,27,10,10,0,0,0,0,0,38,6,15,4,11,0,0,6,10,5,11,1,0.46342347056598693,0.8187712841084794,0
8,3,11,1,5,3,1,0,1,1,0,18,6,10,2,0,1,0,6,0,0,0,3,0.37051686704705245,0.3212349499764428,0
14,3,9,1,1,9,1,0,1,1,0,26,5,6,4,12,0,0,5,6,4,11,0,0.6513215188077619,0.8156866185679186,0
8,1,15,27,6,7,0,0,1,0,0,19,6,6,6,15,0,0,6,6,6,14,0,0.9989227507310561,0.9925740957556458,1
14,1,6,24,5,8,0,0,1,0,0,27,10,17,18,11,0,12,11,12,10,12,-3,0.8501290527354043,0.850594926190459,0
8,5,12,14,4,10,0,0,1,1,0,33,6,9,3,13,0,0,6,12,0,0,0,0.44412692218492883,0.0008510928547855169,0
12,1,17,14,10,10,0,0,1,0,0,37,5,8,0,12,0,0,5,10,0,12,0,-0.005021513358695485,-0.006497628368191842,1
8,3,11,28,8,10,1,0,1,0,0,20,5,6,0,13,0,0,5,5,0,13,-3,-0.032461366969596644,-0.00835032647104813,1
1,1,17,1,10,10,0,0,1,1,0,20,11,14,9,11,0,9,5,11,5,13,0,0.8331334590577887,0.8476213503334943,1
1,5,6,14,4,10,1,0,1,0,0,18,6,10,3,13,0,0,6,12,2,10,-3,0.4556060311169245,0.4290389329610769,0
9,1,13,3,4,7,1,0,1,1,0,18,6,14,4,12,0,0,6,10,3,10,0,0.6743550747619008,0.3193179549647072,0
1,2,14,14,5,9,1,0,1,0,0,20,6,6,5,15,0,0,6,9,5,12,0,1.0011786541829522,0.9989161278060801,1
1,1,14,1,5,3,0,0,1,0,0,19,6,8,5,11,0,0,6,9,4,12,0,1.0030449683758216,0.6117366030083939,1
8,1,15,28,10,9,0,0,1,0,0,34,6,6,6,11,0,0,6,8,6,14,-4,0.9935794188598195,1.016394039338255,1
14,0,12,1,10,2,0,0,1,1,0,34,17,24,12,13,2,10,11,12,12,13,-4,0.8661623944418743,1.0096346849594204,1
12,1,8,28,1,7,0,0,1,0,0,41,6,6,2,11,0,0,6,6,0,0,0,0.8291001902004246,-0.01159475473940215,0
8,4,6,14,10,10,1,0,1,0,1,18,5,6,0,0,0,0,5,6,0,0,-3,-0.017907690460946275,-0.0060860368539298985,1
9,1,7,1,3,4,1,1,1,1,0,19,6,15,2,10,1,0,6,12,3,11,1,0.6454182491303313,0.3975404605388304,0
14,1,8,1,2,11,0,1,0,0,0,29,5,6,0,0,0,0,5,6,0,0,0,0.007420652993951242,0.0050365169070650815,0
1,4,9,14,10,4,1,0,1,0,0,19,6,6,6,13,0,0,6,6,6,14,0,0.9996631328444858,0.9861804060763543,1
1,4,12,14,3,2,0,0,1,0,0,31,8,8,7,15,0,0,8,7,7,13,0,0.8731184910391805,0.853025636737377,1
4,1,17,1,4,11,0,0,1,1,0,20,10,12,5,13,0,2,14,12,7,14,2,1.003284564643535,0.4119926989222252,1
15,1,16,28,7,8,0,0,1,0,0,25,6,10,6,13,0,0,6,12,6,13,0,0.843395700575581,0.8774455065309384,1
8,2,15,1,6,4,1,0,1,0,0,18,6,6,6,13,0,0,6,9,6,12,0,1.0026823640734064,0.8371272180008958,1
14,1,9,1,6,8,0,0,1,1,0,22,5,10,3,13,0,0,5,11,5,11,0,0.8289177680607451,0.8415138449033029,0
8,6,12,14,4,8,1,0,1,1,0,18,7,0,6,14,0,0,7,9,0,0,1,-0.021533951557054155,0.022338940696724686,0
14,1,14,5,4,6,1,0,1,1,0,19,6,14,3,10,0,0,5,6,0,0,0,0.1466843273902642,-0.013975491638071547,0
15,1,4,10,4,7,0,0,1,1,0,25,10,20,15,11,2,4,11,12,11,12,0,0.9916226542954643,0.8497681046671424,1
1,1,6,14,1,11,0,0,1,0,0,34,6,10,6,14,0,0,6,9,6,13,0,0.999154226565608,1.0061382720137002,1
12,1,17,27,12,1,0,0,1,1,0,28,5,10,2,0,1,0,5,5,0,0,-1,-0.016549760424743522,-0.0380254145660657,0
