Course,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target_Graduate
6,0,1,0,19,5,6,5,13,5,5,5,12,1
15,0,1,0,18,6,6,6,12,6,7,6,12,1
12,0,1,0,18,7,7,6,12,7,7,6,12,0
12,0,1,0,20,7,11,6,11,7,7,7,13,0
10,0,1,1,20,6,13,2,10,6,12,4,10,0
9,0,1,0,20,5,11,3,10,5,10,3,10,0
6,0,1,0,18,5,12,5,13,5,6,5,11,1
9,0,1,0,18,5,5,5,12,5,5,5,14,1
11,0,1,0,21,6,12,3,11,6,12,2,11,0
9,0,1,0,19,5,8,5,10,5,9,4,11,1
2,0,1,0,19,0,0,0,0,0,0,0,0,0
14,0,1,1,19,5,5,5,12,5,5,5,14,1
6,0,1,0,19,6,15,6,14,6,13,6,12,1
13,0,1,0,19,7,12,5,12,7,0,0,0,0
6,0,1,0,20,6,7,6,14,6,17,5,13,1
16,0,1,1,18,6,8,5,12,6,7,5,13,0
10,0,1,0,18,6,7,6,13,6,6,6,13,1
12,0,1,0,19,7,7,7,13,8,9,8,15,1
12,0,1,1,18,7,9,7,13,8,9,7,13,0
5,0,1,0,18,6,6,6,12,6,6,6,13,1
9,0,1,0,19,5,7,5,12,5,5,5,14,1
12,0,1,0,19,7,8,5,14,7,7,0,0,0
10,0,1,0,20,9,15,9,11,7,8,7,11,1
14,1,0,1,19,6,7,5,12,6,9,4,12,0
14,0,1,0,20,5,7,4,12,5,5,4,11,1
15,1,1,1,18,6,6,6,14,6,6,6,14,1
12,0,1,1,20,7,9,5,13,8,9,7,12,0
12,0,1,0,18,7,8,7,17,8,8,8,17,1
12,0,1,0,19,7,7,6,12,7,7,6,12,1
15,0,1,1,19,6,8,6,12,6,10,5,12,1
9,1,0,0,22,5,8,0,0,5,7,0,0,0
10,0,1,1,19,6,7,6,11,6,6,6,11,1
12,0,1,1,19,7,10,7,13,8,11,8,12,1
16,0,1,1,19,6,10,5,12,6,9,5,10,1
11,0,1,0,19,5,10,0,0,5,10,0,0,0
11,0,1,0,20,6,8,5,11,6,12,3,11,0
9,0,1,0,18,5,10,5,13,5,9,5,14,1
12,0,1,1,20,7,8,6,13,8,9,7,14,1
2,0,1,0,18,0,0,0,0,0,0,0,0,0
6,0,1,0,19,5,6,5,12,5,6,5,13,1
16,0,1,0,18,6,11,3,12,6,10,5,10,0
16,0,1,0,18,6,7,6,13,6,8,5,11,1
16,0,1,0,21,6,10,3,12,6,12,3,10,0
16,0,1,0,19,6,8,6,12,6,10,4,11,0
9,0,1,1,18,5,5,5,10,5,5,5,11,1
10,0,1,1,18,6,8,6,12,6,7,6,11,1
10,0,1,0,20,6,10,4,11,6,9,6,11,1
3,0,1,1,24,6,11,5,11,6,9,5,12,1
14,0,1,0,19,6,6,6,13,6,9,6,13,0
12,0,1,1,18,7,9,7,12,8,12,7,12,1
12,0,1,0,18,7,8,7,14,8,8,8,15,1
16,0,1,0,21,6,13,4,11,6,10,3,11,0
14,0,1,0,19,5,5,5,14,5,5,5,14,1
15,0,1,1,19,6,6,6,12,6,7,6,13,1
4,1,1,0,47,1,1,0,0,6,0,0,0,0
10,0,1,0,19,6,10,5,11,6,12,4,11,1
12,0,1,0,29,8,8,7,14,8,8,7,14,1
10,0,1,0,21,6,13,3,12,6,12,2,11,0
6,0,1,0,28,5,13,4,11,5,11,4,10,0
13,0,1,0,20,7,8,7,12,8,8,8,13,1
12,0,1,0,19,7,7,6,11,7,7,6,11,1
3,0,1,0,26,6,10,3,11,6,8,5,12,1
11,1,0,0,20,6,8,4,11,6,6,6,13,0
14,0,1,1,18,5,6,3,11,5,6,4,13,0
16,0,1,0,27,6,9,5,13,6,10,5,12,1
12,0,1,0,20,7,8,4,11,7,8,4,11,0
16,0,1,0,18,6,8,5,12,6,12,5,10,0
12,0,1,0,33,7,8,6,14,8,10,6,14,0
16,0,1,0,35,21,21,21,12,19,19,19,12,1
17,0,1,1,26,6,7,6,12,6,7,6,13,0
15,1,0,0,27,6,6,5,12,6,6,0,0,0
5,0,0,0,19,6,6,6,12,6,6,0,0,0
11,0,1,0,20,6,0,0,0,6,0,0,0,0
9,1,0,0,20,5,9,3,10,5,9,3,10,0
10,1,0,0,21,10,18,8,11,6,12,4,10,0
12,0,1,1,18,7,7,6,13,7,7,6,13,1
6,0,1,0,24,6,10,2,11,6,6,0,0,0
5,0,1,0,20,6,7,6,11,6,6,6,12,1
11,0,1,1,21,6,7,6,12,6,6,6,12,1
3,0,1,0,23,6,13,2,10,5,12,1,10,0
9,0,1,0,24,5,5,0,0,5,5,0,0,0
16,0,1,0,21,6,0,0,0,6,0,0,0,0
12,0,1,0,18,8,8,7,12,8,8,7,12,1
17,0,1,0,27,5,0,0,0,5,0,0,0,0
12,0,1,0,18,8,8,8,12,8,8,8,12,1
7,0,1,0,35,5,0,0,0,5,0,0,0,0
16,0,1,0,18,7,9,7,12,7,8,7,14,1
12,0,1,0,35,3,4,3,11,3,3,3,11,0
6,0,1,0,19,5,9,4,13,5,13,4,14,1
10,0,1,0,20,6,8,6,11,6,6,6,11,1
12,0,1,0,18,8,8,7,12,8,8,7,12,1
10,1,1,0,21,6,6,6,12,6,7,6,11,1
10,0,1,1,18,6,11,5,11,6,11,4,11,1
10,0,1,0,18,6,9,4,11,6,9,4,10,1
12,0,1,0,18,8,8,7,12,8,8,7,12,1
15,0,1,1,18,6,6,6,13,6,6,6,14,1
6,0,1,0,19,6,8,6,13,6,9,5,13,1
11,0,1,1,36,6,7,6,13,6,6,5,12,0
12,0,1,1,18,8,8,7,12,8,8,7,12,1
12,0,1,1,18,7,7,6,12,7,7,6,12,1
8,0,1,1,20,6,8,6,15,6,8,6,15,1
17,0,1,1,26,5,7,0,0,5,8,0,0,0
15,0,1,0,21,6,8,6,11,6,7,6,12,1
13,0,1,0,25,7,10,6,12,8,9,8,13,0
9,0,1,1,19,5,7,5,11,5,5,5,11,1
3,0,1,0,24,6,11,1,10,6,6,0,0,0
3,0,1,1,27,6,16,1,10,6,13,0,0,0
6,0,1,0,21,5,10,0,0,5,9,2,13,0
9,0,1,1,18,5,7,4,13,5,8,3,12,1
16,0,1,1,19,6,6,6,13,6,6,6,14,1
11,0,1,0,18,6,9,4,11,6,13,2,12,0
12,0,1,1,19,7,9,5,13,8,9,7,12,1
12,0,1,1,19,7,8,6,13,8,9,7,14,1
17,0,1,0,33,6,7,6,15,5,5,5,15,1
9,0,1,0,45,5,6,5,11,5,5,5,13,1
10,0,1,1,20,6,6,6,12,6,7,6,12,1
14,0,1,0,28,5,5,0,0,5,5,0,0,0
12,0,1,1,19,8,15,7,11,8,15,7,11,1
11,0,1,0,18,6,10,6,12,6,6,3,12,1
11,0,1,0,38,6,0,0,0,6,0,0,0,0
14,0,1,0,19,5,5,5,13,5,5,5,13,1
11,0,1,1,21,6,9,5,11,6,8,5,12,1
9,0,1,0,21,5,12,3,12,5,12,1,15,0
10,0,1,1,22,6,6,5,12,6,6,6,13,1
16,0,1,1,18,6,8,5,13,6,7,6,13,1
10,0,1,1,18,6,9,6,11,6,9,6,11,1
8,0,0,0,25,5,14,4,13,5,10,4,14,0
6,1,0,0,24,6,11,3,11,6,14,3,10,0
12,0,1,0,19,7,10,6,12,7,8,7,11,0
2,0,1,0,24,17,19,11,12,13,15,9,13,0
9,0,1,1,20,5,5,5,11,5,5,5,13,1
9,0,0,0,25,5,5,0,0,5,9,0,0,0
9,0,1,1,20,10,13,9,12,10,12,10,12,1
12,0,1,0,23,8,8,8,13,8,8,8,13,1
12,0,1,1,19,8,8,7,13,8,8,7,13,1
4,1,0,0,29,6,13,3,12,6,8,3,11,0
11,0,1,0,21,6,8,6,11,6,8,4,12,1
14,0,1,1,18,6,10,6,13,6,13,5,14,1
5,0,1,0,19,6,7,5,12,6,6,5,12,0
15,0,1,1,18,6,6,6,15,6,6,6,12,0
6,0,1,0,19,5,6,5,14,5,6,5,13,1
15,0,1,0,18,6,12,1,11,6,12,0,0,0
9,0,1,0,18,5,8,5,12,5,6,5,10,1
13,1,0,1,37,7,13,1,16,7,12,0,0,0
17,0,1,0,29,5,10,5,13,5,14,5,12,1
5,0,1,0,18,6,6,6,11,6,6,6,12,0
10,0,1,1,19,6,8,5,11,6,9,5,12,1
10,1,0,0,22,10,16,6,11,7,8,2,13,0
11,0,1,1,20,6,8,6,11,6,10,5,10,1
3,0,1,0,34,6,0,0,0,6,0,0,0,0
7,1,0,0,30,12,17,8,11,12,19,6,12,0
10,0,1,0,18,6,7,6,14,6,7,6,14,1
10,0,1,0,18,6,6,6,12,6,6,6,12,1
15,0,1,0,18,6,11,4,12,6,10,3,11,1
12,0,1,0,18,8,8,7,14,8,8,7,14,1
15,0,1,1,19,6,7,5,11,6,8,5,12,1
5,0,1,1,19,6,6,6,13,6,8,6,12,1
12,0,1,1,18,8,8,7,13,8,8,7,13,1
4,0,1,1,21,6,9,6,12,6,8,5,12,1
9,0,0,0,20,5,10,2,10,5,12,1,13,0
9,0,1,0,20,5,10,5,13,5,8,5,12,1
12,0,1,0,19,7,8,7,12,8,8,8,13,1
10,0,1,0,20,6,8,6,14,6,7,6,15,1
12,0,1,0,18,7,7,7,13,8,8,8,15,1
16,0,1,0,20,6,8,5,11,6,10,3,10,0
8,1,0,0,29,9,16,7,11,7,12,5,13,0
12,0,1,1,18,7,7,7,13,8,8,8,13,0
12,0,1,1,20,7,8,7,14,8,11,7,13,1
9,0,1,1,22,5,8,4,12,5,8,4,11,1
3,0,1,1,47,6,9,5,14,6,7,6,14,1
17,0,1,0,31,5,5,5,14,5,5,5,13,1
5,0,1,1,21,6,7,5,13,6,6,6,12,1
3,0,1,0,21,6,8,5,12,6,10,6,11,1
15,0,1,0,24,6,6,6,12,6,6,6,13,1
5,0,1,0,18,6,8,6,12,6,6,6,12,0
3,0,1,0,32,6,9,4,12,6,12,4,11,1
3,0,1,1,19,6,8,6,10,6,9,6,11,1
12,0,1,0,24,8,8,8,13,8,8,8,13,1
6,0,1,0,19,6,14,6,15,6,9,6,14,1
4,1,1,1,19,6,9,6,14,6,7,6,13,1
4,0,1,0,24,6,10,6,11,6,12,5,13,0
10,0,1,1,18,6,9,6,11,6,8,6,11,1
5,0,1,1,19,6,9,5,12,6,10,2,11,0
12,0,1,1,19,8,8,7,14,8,8,7,14,1
15,0,1,1,18,6,6,6,14,6,6,6,13,1
10,0,1,0,18,6,10,6,11,6,8,6,12,1
13,0,1,0,20,7,7,7,12,8,8,8,13,1
12,0,1,0,18,8,10,8,12,8,10,8,12,1
14,0,1,0,18,6,10,6,12,6,9,6,13,1
6,0,1,1,21,5,7,4,12,5,5,5,12,1
12,0,1,1,18,7,9,7,15,8,9,8,16,1
14,1,0,0,18,5,6,2,12,5,6,4,10,0
10,0,1,0,19,6,11,0,0,6,0,0,0,0
14,0,1,0,19,6,8,4,11,6,9,4,11,0
14,0,1,0,18,6,8,6,11,6,11,4,14,1
8,0,1,0,34,5,6,1,11,5,5,0,0,0
6,0,1,0,19,5,5,5,15,5,6,5,13,1
8,1,0,0,19,6,7,5,11,6,12,2,11,0
10,1,1,0,26,6,6,6,14,6,7,6,15,1
16,0,1,0,21,6,12,3,11,6,10,3,11,0
9,0,1,1,18,5,5,5,11,5,5,5,11,1
16,0,1,1,20,6,8,5,13,6,9,5,13,1
9,0,1,0,25,5,12,2,10,5,5,0,0,0
9,0,1,0,18,5,5,5,16,5,5,5,16,1
12,0,1,1,18,7,7,7,14,8,11,8,14,1
12,0,1,0,19,7,7,7,13,8,9,8,14,1
10,0,1,1,18,6,8,6,11,6,10,6,11,1
12,0,1,0,20,7,11,6,11,8,12,6,13,0
6,1,0,0,26,3,3,0,0,6,0,0,0,0
12,0,1,1,19,8,8,7,13,8,8,7,13,1
12,0,1,0,19,7,7,7,14,8,9,8,14,1
9,0,1,0,19,10,15,5,11,10,14,8,12,1
6,0,1,0,19,5,9,3,10,5,8,3,13,0
11,0,1,0,18,6,7,6,10,6,11,3,11,1
12,0,1,0,19,7,7,6,13,7,7,6,13,1
10,1,1,0,18,6,10,6,11,6,9,5,11,1
16,0,1,0,18,6,9,5,12,6,8,5,11,0
6,0,1,0,18,5,11,5,14,5,7,5,11,0
16,0,1,0,18,7,12,5,12,7,9,6,12,0
7,1,1,0,26,5,6,0,0,5,5,0,0,0
10,0,1,0,20,6,7,6,12,6,7,6,13,1
3,0,1,0,19,6,6,6,12,6,6,6,11,1
10,0,1,1,18,6,6,6,12,6,9,6,13,1
10,0,1,0,19,6,6,6,13,6,6,6,14,1
16,1,1,0,40,7,8,7,15,7,7,7,14,1
12,0,1,1,18,8,8,8,13,8,8,8,13,1
10,0,1,0,19,6,9,5,12,6,8,6,12,1
8,0,1,0,18,5,9,4,11,5,6,4,12,1
6,0,1,0,19,5,13,4,12,5,8,3,12,0
2,0,1,0,18,0,0,0,0,0,0,0,0,0
3,0,1,0,33,6,7,6,12,6,8,6,12,1
4,0,1,0,35,6,10,6,14,6,11,6,13,1
9,0,1,0,26,5,5,4,13,5,7,2,12,0
15,0,1,0,18,6,7,6,13,6,8,6,12,1
10,0,1,0,36,16,24,13,10,13,19,9,12,0
17,0,1,0,39,5,6,5,11,5,9,5,11,1
10,0,1,0,44,6,8,6,13,6,6,6,13,1
3,0,1,0,20,6,10,5,12,6,9,4,11,0
11,0,1,0,24,6,9,4,12,6,6,4,11,0
15,0,1,1,20,6,6,6,13,6,6,6,13,1
2,0,0,0,19,0,0,0,0,0,0,0,0,0
12,1,1,1,18,7,7,6,14,7,7,6,14,1
11,1,0,0,22,6,10,5,11,6,12,0,0,0
6,0,1,0,18,6,7,6,15,6,7,6,16,1
12,0,1,0,24,7,9,6,12,8,9,7,13,1
17,0,1,0,33,5,0,0,0,5,0,0,0,0
4,1,1,1,30,6,6,0,0,6,6,0,0,0
6,0,1,0,26,6,0,0,0,6,0,0,0,0
16,0,1,0,18,6,7,6,11,6,10,6,11,1
15,1,1,0,19,6,13,3,12,6,12,2,10,0
9,0,1,0,20,5,10,3,10,5,9,4,11,0
6,0,1,1,22,11,18,8,13,9,16,7,13,1
12,0,1,0,19,7,8,5,13,7,8,5,13,0
6,0,1,1,21,6,13,6,16,6,10,6,15,1
12,0,1,1,21,7,7,6,14,7,7,6,14,1
6,0,1,0,19,5,8,1,11,5,6,5,11,0
16,0,1,1,19,7,8,7,13,7,8,6,13,1
12,0,1,0,18,8,8,7,13,8,8,7,13,0
3,0,1,0,50,11,11,11,13,7,7,7,13,1
17,0,1,1,31,5,11,4,11,5,10,4,10,0
15,0,1,1,19,6,6,6,13,6,7,6,14,1
17,0,1,0,35,5,8,5,12,5,9,5,12,1
6,0,1,0,31,6,0,0,0,6,0,0,0,0
3,1,1,0,42,11,14,10,11,11,14,10,12,0
9,0,0,0,34,5,5,0,0,5,0,0,0,0
12,0,1,1,18,7,7,7,15,8,8,8,15,1
16,0,0,1,18,7,7,7,12,7,8,6,13,0
6,0,1,0,21,6,16,5,12,6,15,2,13,0
12,0,1,1,26,7,13,5,12,8,12,6,10,0
12,0,1,0,20,7,8,6,13,8,8,8,13,0
10,0,1,0,19,6,13,3,10,6,12,3,10,0
16,0,1,1,19,6,7,6,13,6,6,6,13,1
9,0,1,0,20,11,19,9,12,9,14,8,11,1
10,0,1,0,19,6,8,6,11,6,7,6,11,1
16,0,1,0,18,6,6,6,13,6,9,6,12,1
17,0,1,0,28,14,16,11,11,11,16,10,12,1
16,0,1,0,22,6,10,5,13,6,8,5,12,0
3,0,1,1,21,6,6,6,14,6,6,6,14,1
6,0,1,0,21,6,11,4,12,6,19,1,11,0
12,0,1,0,26,7,11,5,11,8,13,5,12,0
15,1,0,0,18,6,8,5,13,6,8,5,11,0
6,0,0,0,20,5,8,2,10,5,8,2,12,0
6,0,1,0,18,6,7,6,14,6,7,6,14,1
12,0,1,1,19,8,11,7,12,8,11,7,12,1
10,0,1,0,20,11,12,11,11,11,14,11,12,1
6,0,1,1,22,6,11,6,13,6,10,3,12,1
14,1,1,0,18,6,6,5,11,6,9,4,13,0
9,0,1,0,19,5,10,3,10,5,9,0,0,0
5,0,1,1,18,6,9,5,11,6,8,4,11,0
11,0,1,0,20,6,13,3,10,6,12,3,10,0
15,0,1,0,19,6,11,4,12,6,11,3,11,0
11,0,1,0,19,6,6,6,12,6,7,4,12,0
12,0,1,0,19,8,8,7,14,8,8,7,14,1
2,0,1,0,18,0,0,0,0,0,0,0,0,1
5,0,1,0,21,13,14,13,13,12,12,12,14,1
17,0,1,0,27,5,5,5,15,5,5,5,14,1
10,0,1,0,19,6,6,6,14,6,7,6,14,1
6,0,1,0,25,5,5,0,0,5,5,0,0,0
12,0,1,1,18,8,8,7,14,8,8,7,14,1
12,0,1,0,24,8,8,7,12,8,8,7,12,1
12,0,1,0,20,7,8,7,11,8,9,7,14,1
17,0,1,0,26,5,5,5,14,5,5,5,15,1
10,0,1,1,20,6,9,6,12,6,6,6,11,1
6,0,1,0,18,5,5,5,14,5,6,5,15,1
6,0,1,0,19,6,13,6,15,6,10,6,12,1
16,0,1,0,23,6,9,5,11,6,9,3,11,0
12,0,1,1,18,7,7,6,11,7,7,6,11,1
12,0,1,0,18,7,0,0,0,8,0,0,0,0
12,0,1,1,19,7,7,7,12,8,9,8,13,1
17,0,1,0,30,7,9,7,14,5,5,5,14,1
6,0,1,0,29,6,0,0,0,6,0,0,0,0
12,0,1,0,19,8,8,8,13,8,8,8,13,1
13,0,1,0,20,7,7,7,13,8,8,8,14,1
12,0,1,0,20,7,7,6,13,7,7,6,13,1
14,0,1,0,19,6,8,6,13,6,9,6,13,1
9,0,1,0,20,5,8,3,11,5,12,2,10,0
6,0,1,0,21,5,8,0,0,5,12,0,0,0
14,0,1,0,19,6,10,5,11,6,9,4,14,1
12,0,1,1,18,8,8,7,12,8,8,7,12,1
3,0,1,1,27,6,8,6,11,6,10,5,12,1
9,0,1,1,19,5,6,5,13,5,5,5,12,1
12,0,1,1,19,7,7,0,0,7,7,0,0,0
15,0,1,0,19,6,7,5,14,6,7,6,14,1
12,0,1,1,18,8,8,7,13,8,8,7,13,1
11,0,1,1,20,6,10,4,11,6,6,6,10,0
14,0,1,1,18,6,6,6,14,6,8,6,13,1
14,0,1,0,19,6,0,0,0,6,0,0,0,0
12,0,1,0,36,7,7,6,11,7,7,6,11,1
13,0,1,0,18,2,2,0,0,4,4,1,16,0
8,1,1,0,18,5,11,1,12,5,9,3,12,0
12,0,1,0,19,8,9,7,12,8,9,7,12,1
12,0,1,1,18,8,8,7,12,8,8,7,12,1
14,0,1,0,18,5,5,4,11,5,5,4,11,1
10,0,1,1,19,6,6,6,13,6,6,6,14,1
12,0,1,1,19,7,8,7,14,8,8,8,16,1
12,0,1,0,18,7,8,7,12,8,8,8,14,0
15,0,1,0,20,6,6,6,13,6,10,5,12,1
11,0,1,1,20,6,8,5,12,6,9,5,12,0
12,0,1,0,20,8,8,7,14,8,8,7,14,1
12,0,1,1,18,8,8,7,13,8,8,7,13,1
12,0,1,0,18,7,8,7,14,8,8,8,13,1
6,0,1,0,19,5,11,5,11,5,6,5,12,1
9,0,1,0,19,5,5,5,11,5,8,4,11,0
3,0,1,0,44,6,9,6,11,6,15,2,11,1
4,0,1,0,32,6,7,0,0,6,6,0,0,0
16,0,1,0,22,6,9,5,13,6,8,5,12,0
4,0,1,0,36,12,14,12,13,12,18,11,14,1
15,0,1,1,18,6,7,6,12,6,8,6,13,1
8,0,1,0,20,5,5,5,16,5,5,5,14,1
5,0,1,1,20,11,11,11,13,11,11,11,13,1
10,0,1,0,19,6,8,5,10,6,11,4,10,1
9,1,1,0,24,5,8,5,10,5,6,5,12,1
10,0,1,0,20,6,11,5,10,6,11,4,10,0
3,0,1,0,27,10,10,9,11,11,11,5,10,0
16,0,1,0,20,6,9,5,14,8,8,8,12,0
10,0,1,1,23,16,18,16,13,13,15,13,13,1
12,0,1,1,18,8,9,8,13,8,9,8,13,1
10,0,1,1,18,6,10,5,10,6,9,5,12,1
12,0,1,1,20,8,8,7,13,8,8,7,13,1
11,0,1,1,20,6,6,6,12,6,7,6,11,1
14,0,1,0,23,6,11,6,11,6,9,5,12,0
12,0,1,0,20,7,7,6,13,7,7,6,13,1
11,0,0,0,28,5,10,0,0,5,10,0,0,0
14,0,1,0,21,5,8,4,11,5,5,5,12,1
13,0,1,0,21,2,2,2,12,7,0,0,0,0
12,0,1,0,28,7,0,0,0,8,0,0,0,0
12,0,1,0,18,7,10,6,11,8,11,7,13,1
10,0,1,1,21,6,8,5,13,6,7,5,11,0
12,0,1,0,19,7,10,6,11,8,8,8,14,1
12,0,1,1,18,8,8,7,14,8,8,7,14,1
12,0,1,0,19,7,0,0,0,8,0,0,0,0
6,0,1,0,20,6,9,6,12,6,12,2,13,0
12,0,1,1,20,7,9,6,12,8,10,7,12,1
16,0,1,1,18,6,7,6,12,6,7,5,12,1
14,0,1,0,20,6,7,6,11,6,10,4,10,0
14,0,1,0,31,6,13,5,11,6,14,4,11,0
